dimension_type,dimension_value,year_month,monthly_sales,prev_month_sales,mom_growth_pct
region,Central,2024-11,153212.33,153506.11,-0.19
region,Central,2024-12,235493.68,153212.33,53.7
region,Central,2025-01,102882.82,235493.68,-56.31
region,Central,2025-02,91921.34,102882.82,-10.65
region,Central,2025-03,118265.13,91921.34,28.66
region,Central,2025-04,104607.31,118265.13,-11.55
region,Central,2025-05,109875.56,104607.31,5.04
region,Central,2025-06,130790.76,109875.56,19.04
region,Central,2025-07,108819.14,130790.76,-16.8
region,Central,2025-08,103030.45,108819.14,-5.32
region,Central,2025-09,103676.28,103030.45,0.63
region,Central,2025-10,105188.35,103676.28,1.46
region,Central,2025-11,182033.03,105188.35,73.05
region,Central,2025-12,212161.02,182033.03,16.55
region,East,2022-01,47017.4,,
region,East,2022-02,61992.49,47017.4,31.85
region,East,2022-03,131673.69,61992.49,112.4
region,East,2022-04,199537.25,131673.69,51.54
region,East,2022-05,120140.38,199537.25,-39.79
region,East,2022-06,138617.05,120140.38,15.38
region,East,2022-07,145871.83,138617.05,5.23
region,East,2022-08,92410.08,145871.83,-36.65
region,East,2022-09,174981.61,92410.08,89.35
region,East,2022-10,157801.12,174981.61,-9.82
region,East,2022-11,174476.68,157801.12,10.57
region,East,2022-12,283490.54,174476.68,62.48
region,East,2023-01,127361.34,283490.54,-55.07
region,East,2023-02,77584.25,127361.34,-39.08
region,East,2023-03,126630.36,77584.25,63.22
region,East,2023-04,161402.42,126630.36,27.46
region,East,2023-05,132480.24,161402.42,-17.92
region,East,2023-06,106416.83,132480.24,-19.67
region,East,2023-07,77921.84,106416.83,-26.78
region,East,2023-08,86613.42,77921.84,11.15
region,East,2023-09,128864.13,86613.42,48.78
region,East,2023-10,164896.71,128864.13,27.96
region,East,2023-11,238880.89,164896.71,44.87
region,East,2023-12,253337.87,238880.89,6.05
region,East,2024-01,120534.05,253337.87,-52.42
region,East,2024-02,107154.88,120534.05,-11.1
region,East,2024-03,106388.98,107154.88,-0.71
region,East,2024-04,140621.59,106388.98,32.18
region,East,2024-05,141175.33,140621.59,0.39
region,East,2024-06,118031.44,141175.33,-16.39
region,East,2024-07,150664.54,118031.44,27.65
region,East,2024-08,138657.72,150664.54,-7.97
region,East,2024-09,89914.36,138657.72,-35.15
region,East,2024-10,134894.62,89914.36,50.03
region,East,2024-11,256743.83,134894.62,90.33
region,East,2024-12,221068.08,256743.83,-13.9
region,East,2025-01,123532.94,221068.08,-44.12
region,East,2025-02,129354.0,123532.94,4.71
region,East,2025-03,105638.91,129354.0,-18.33
region,East,2025-04,149065.81,105638.91,41.11
region,East,2025-05,148543.34,149065.81,-0.35
region,East,2025-06,104815.03,148543.34,-29.44
region,East,2025-07,130729.66,104815.03,24.72
region,East,2025-08,156936.28,130729.66,20.05
region,East,2025-09,116414.72,156936.28,-25.82
region,East,2025-10,202360.93,116414.72,73.83
region,East,2025-11,213050.39,202360.93,5.28
region,East,2025-12,249063.95,213050.39,16.9
region,South,2022-01,62157.13,,
region,South,2022-02,75126.98,62157.13,20.87
region,South,2022-03,115944.17,75126.98,54.33
region,South,2022-04,149775.25,115944.17,29.18
region,South,2022-05,191897.53,149775.25,28.12
region,South,2022-06,128272.66,191897.53,-33.16
region,South,2022-07,121791.71,128272.66,-5.05
region,South,2022-08,126618.53,121791.71,3.96
region,South,2022-09,118413.55,126618.53,-6.48
region,South,2022-10,156992.98,118413.55,32.58
region,South,2022-11,208755.32,156992.98,32.97
region,South,2022-12,259914.52,208755.32,24.51
region,South,2023-01,134556.85,259914.52,-48.23
region,South,2023-02,112783.28,134556.85,-16.18
region,South,2023-03,137976.64,112783.28,22.34
region,South,2023-04,134280.44,137976.64,-2.68
region,South,2023-05,146116.31,134280.44,8.81
region,South,2023-06,119359.76,146116.31,-18.31
region,South,2023-07,92078.3,119359.76,-22.86
region,South,2023-08,100904.26,92078.3,9.59
region,South,2023-09,171038.18,100904.26,69.51
region,South,2023-10,174302.75,171038.18,1.91
region,South,2023-11,184372.18,174302.75,5.78
region,South,2023-12,219078.88,184372.18,18.82
region,South,2024-01,120432.67,219078.88,-45.03
region,South,2024-02,135265.37,120432.67,12.32
region,South,2024-03,118369.78,135265.37,-12.49
region,South,2024-04,140724.61,118369.78,18.89
region,South,2024-05,101478.55,140724.61,-27.89
region,South,2024-06,160682.78,101478.55,58.34
region,South,2024-07,90733.01,160682.78,-43.53
region,South,2024-08,166837.0,90733.01,83.88
region,South,2024-09,147047.34,166837.0,-11.86
region,South,2024-10,118381.48,147047.34,-19.49
region,South,2024-11,225084.52,118381.48,90.13
region,South,2024-12,185553.46,225084.52,-17.56
region,South,2025-01,128765.0,185553.46,-30.6
region,South,2025-02,103784.42,128765.0,-19.4
region,South,2025-03,91303.44,103784.42,-12.03
region,South,2025-04,119161.82,91303.44,30.51
region,South,2025-05,163199.95,119161.82,36.96
region,South,2025-06,147175.45,163199.95,-9.82
region,South,2025-07,132724.68,147175.45,-9.82
region,South,2025-08,91515.1,132724.68,-31.05
region,South,2025-09,143625.84,91515.1,56.94
region,South,2025-10,173859.15,143625.84,21.05
region,South,2025-11,251113.08,173859.15,44.43
region,South,2025-12,266784.66,251113.08,6.24
region,West,2022-01,45345.43,,
region,West,2022-02,64436.17,45345.43,42.1
region,West,2022-03,111644.07,64436.17,73.26
region,West,2022-04,67480.93,111644.07,-39.56
region,West,2022-05,97082.96,67480.93,43.87
region,West,2022-06,89162.94,97082.96,-8.16
region,West,2022-07,75126.33,89162.94,-15.74
region,West,2022-08,95576.21,75126.33,27.22
region,West,2022-09,77514.35,95576.21,-18.9
region,West,2022-10,125539.93,77514.35,61.96
region,West,2022-11,190811.38,125539.93,51.99
region,West,2022-12,154126.14,190811.38,-19.23
region,West,2023-01,109543.67,154126.14,-28.93
region,West,2023-02,97252.22,109543.67,-11.22
region,West,2023-03,102105.32,97252.22,4.99
region,West,2023-04,61092.44,102105.32,-40.17
region,West,2023-05,67428.85,61092.44,10.37
region,West,2023-06,97119.82,67428.85,44.03
region,West,2023-07,82531.13,97119.82,-15.02
region,West,2023-08,82702.95,82531.13,0.21
region,West,2023-09,96354.9,82702.95,16.51
region,West,2023-10,124724.3,96354.9,29.44
region,West,2023-11,196372.24,124724.3,57.45
region,West,2023-12,246342.33,196372.24,25.45
region,West,2024-01,78121.68,246342.33,-68.29
region,West,2024-02,82182.31,78121.68,5.2
region,West,2024-03,97778.9,82182.31,18.98
region,West,2024-04,76420.18,97778.9,-21.84
region,West,2024-05,73265.12,76420.18,-4.13
region,West,2024-06,102105.41,73265.12,39.36
region,West,2024-07,73335.72,102105.41,-28.18
region,West,2024-08,106943.26,73335.72,45.83
region,West,2024-09,96457.55,106943.26,-9.8
region,West,2024-10,134057.1,96457.55,38.98
region,West,2024-11,157608.82,134057.1,17.57
region,West,2024-12,186743.66,157608.82,18.49
region,West,2025-01,105676.15,186743.66,-43.41
region,West,2025-02,70250.23,105676.15,-33.52
region,West,2025-03,102627.99,70250.23,46.09
region,West,2025-04,84255.35,102627.99,-17.9
region,West,2025-05,153840.06,84255.35,82.59
region,West,2025-06,118018.69,153840.06,-23.28
region,West,2025-07,98240.16,118018.69,-16.76
region,West,2025-08,77880.66,98240.16,-20.72
region,West,2025-09,73321.74,77880.66,-5.85
region,West,2025-10,73618.62,73321.74,0.4
region,West,2025-11,218750.62,73618.62,197.14
region,West,2025-12,154556.17,218750.62,-29.35
