dimension_type,dimension_value,year_month,monthly_sales,same_month_last_year_sales,yoy_growth_pct
category,Furniture,2025-07,208871.06,195125.17,7.04
category,Furniture,2025-08,203554.61,188611.26,7.92
category,Furniture,2025-09,160495.16,151080.85,6.23
category,Furniture,2025-10,234709.02,211974.41,10.73
category,Furniture,2025-11,378049.89,345489.43,9.42
category,Furniture,2025-12,341735.51,331964.55,2.94
category,Office Supplies,2022-01,18201.48,,
category,Office Supplies,2022-02,21152.94,,
category,Office Supplies,2022-03,24897.07,,
category,Office Supplies,2022-04,26456.76,,
category,Office Supplies,2022-05,30686.63,,
category,Office Supplies,2022-06,25294.17,,
category,Office Supplies,2022-07,27682.4,,
category,Office Supplies,2022-08,27771.79,,
category,Office Supplies,2022-09,29384.73,,
category,Office Supplies,2022-10,28809.72,,
category,Office Supplies,2022-11,43348.73,,
category,Office Supplies,2022-12,45979.1,,
category,Office Supplies,2023-01,22598.16,18201.48,24.16
category,Office Supplies,2023-02,16925.21,21152.94,-19.99
category,Office Supplies,2023-03,25371.48,24897.07,1.91
category,Office Supplies,2023-04,24352.65,26456.76,-7.95
category,Office Supplies,2023-05,26265.84,30686.63,-14.41
category,Office Supplies,2023-06,23073.04,25294.17,-8.78
category,Office Supplies,2023-07,23279.65,27682.4,-15.9
category,Office Supplies,2023-08,28053.79,27771.79,1.02
category,Office Supplies,2023-09,27130.3,29384.73,-7.67
category,Office Supplies,2023-10,30831.32,28809.72,7.02
category,Office Supplies,2023-11,42548.08,43348.73,-1.85
category,Office Supplies,2023-12,49448.11,45979.1,7.54
category,Office Supplies,2024-01,27348.33,22598.16,21.02
category,Office Supplies,2024-02,25869.05,16925.21,52.84
category,Office Supplies,2024-03,20628.95,25371.48,-18.69
category,Office Supplies,2024-04,24187.71,24352.65,-0.68
category,Office Supplies,2024-05,26899.55,26265.84,2.41
category,Office Supplies,2024-06,27760.97,23073.04,20.32
category,Office Supplies,2024-07,25891.03,23279.65,11.22
category,Office Supplies,2024-08,24575.73,28053.79,-12.4
category,Office Supplies,2024-09,28299.8,27130.3,4.31
category,Office Supplies,2024-10,27551.9,30831.32,-10.64
category,Office Supplies,2024-11,41916.96,42548.08,-1.48
category,Office Supplies,2024-12,47975.54,49448.11,-2.98
category,Office Supplies,2025-01,21145.53,27348.33,-22.68
category,Office Supplies,2025-02,20589.18,25869.05,-20.41
category,Office Supplies,2025-03,18144.06,20628.95,-12.05
category,Office Supplies,2025-04,24201.13,24187.71,0.06
category,Office Supplies,2025-05,27578.3,26899.55,2.52
category,Office Supplies,2025-06,25938.14,27760.97,-6.57
category,Office Supplies,2025-07,23542.85,25891.03,-9.07
category,Office Supplies,2025-08,26803.28,24575.73,9.06
category,Office Supplies,2025-09,23186.47,28299.8,-18.07
category,Office Supplies,2025-10,26650.64,27551.9,-3.27
category,Office Supplies,2025-11,46033.93,41916.96,9.82
category,Office Supplies,2025-12,45430.96,47975.54,-5.3
category,Technology,2022-01,107158.23,,
category,Technology,2022-02,139248.5,,
category,Technology,2022-03,220222.38,,
category,Technology,2022-04,292595.66,,
category,Technology,2022-05,249433.54,,
category,Technology,2022-06,280370.1,,
category,Technology,2022-07,217579.12,,
category,Technology,2022-08,195214.99,,
category,Technology,2022-09,230482.26,,
category,Technology,2022-10,320132.44,,
category,Technology,2022-11,439590.72,,
category,Technology,2022-12,454716.7,,
category,Technology,2023-01,256056.02,107158.23,138.95
category,Technology,2023-02,200275.02,139248.5,43.83
category,Technology,2023-03,257135.81,220222.38,16.76
category,Technology,2023-04,272931.38,292595.66,-6.72
category,Technology,2023-05,230445.37,249433.54,-7.61
category,Technology,2023-06,202256.33,280370.1,-27.86
category,Technology,2023-07,239899.15,217579.12,10.26
category,Technology,2023-08,230948.9,195214.99,18.3
category,Technology,2023-09,299179.01,230482.26,29.81
category,Technology,2023-10,339837.69,320132.44,6.16
category,Technology,2023-11,475331.25,439590.72,8.13
category,Technology,2023-12,509729.19,454716.7,12.1
category,Technology,2024-01,197755.14,256056.02,-22.77
category,Technology,2024-02,199394.9,200275.02,-0.44
category,Technology,2024-03,234903.61,257135.81,-8.65
category,Technology,2024-04,252542.41,272931.38,-7.47
category,Technology,2024-05,229611.69,230445.37,-0.36
category,Technology,2024-06,249347.26,202256.33,23.28
category,Technology,2024-07,187138.76,239899.15,-21.99
category,Technology,2024-08,306163.66,230948.9,32.57
category,Technology,2024-09,242802.11,299179.01,-18.84
category,Technology,2024-10,301313.0,339837.69,-11.34
category,Technology,2024-11,405243.11,475331.25,-14.75
category,Technology,2024-12,448918.79,509729.19,-11.93
category,Technology,2025-01,257967.95,197755.14,30.45
category,Technology,2025-02,239609.17,199394.9,20.17
category,Technology,2025-03,193557.98,234903.61,-17.6
category,Technology,2025-04,242734.82,252542.41,-3.88
category,Technology,2025-05,310340.28,229611.69,35.16
category,Technology,2025-06,261445.56,249347.26,4.85
category,Technology,2025-07,238099.73,187138.76,27.23
category,Technology,2025-08,199004.6,306163.66,-35.0
category,Technology,2025-09,253356.95,242802.11,4.35
category,Technology,2025-10,293667.39,301313.0,-2.54
category,Technology,2025-11,440863.3,405243.11,8.79
category,Technology,2025-12,495399.33,448918.79,10.35
region,Central,2022-01,67860.0,,
region,Central,2022-02,79717.38,,
region,Central,2022-03,56830.48,,
region,Central,2022-04,117532.76,,
region,Central,2022-05,118215.02,,
region,Central,2022-06,124986.23,,
region,Central,2022-07,91342.62,,
region,Central,2022-08,66596.43,,
region,Central,2022-09,72853.15,,
region,Central,2022-10,137170.12,,
region,Central,2022-11,240932.39,,
region,Central,2022-12,208631.48,,
region,Central,2023-01,108646.82,67860.0,60.1
region,Central,2023-02,77804.17,79717.38,-2.4
region,Central,2023-03,106306.16,56830.48,87.06
region,Central,2023-04,126248.63,117532.76,7.42
region,Central,2023-05,124137.6,118215.02,5.01
region,Central,2023-06,85644.72,124986.23,-31.48
region,Central,2023-07,187329.34,91342.62,105.08
region,Central,2023-08,142165.86,66596.43,113.47
region,Central,2023-09,130636.32,72853.15,79.31
region,Central,2023-10,194007.79,137170.12,41.44
region,Central,2023-11,234508.36,240932.39,-2.67
region,Central,2023-12,219224.77,208631.48,5.08
region,Central,2024-01,85187.93,108646.82,-21.59
region,Central,2024-02,92220.56,77804.17,18.53
region,Central,2024-03,76822.64,106306.16,-27.73
region,Central,2024-04,106061.18,126248.63,-15.99
region,Central,2024-05,109160.0,124137.6,-12.07
region,Central,2024-06,87311.12,85644.72,1.95
region,Central,2024-07,93421.69,187329.34,-50.13
region,Central,2024-08,106912.67,142165.86,-24.8
region,Central,2024-09,88763.51,130636.32,-32.05
region,Central,2024-10,153506.11,194007.79,-20.88
region,Central,2024-11,153212.33,234508.36,-34.67
region,Central,2024-12,235493.68,219224.77,7.42
region,Central,2025-01,102882.82,85187.93,20.77
region,Central,2025-02,91921.34,92220.56,-0.32
region,Central,2025-03,118265.13,76822.64,53.95
region,Central,2025-04,104607.31,106061.18,-1.37
region,Central,2025-05,109875.56,109160.0,0.66
region,Central,2025-06,130790.76,87311.12,49.8
region,Central,2025-07,108819.14,93421.69,16.48
region,Central,2025-08,103030.45,106912.67,-3.63
region,Central,2025-09,103676.28,88763.51,16.8
region,Central,2025-10,105188.35,153506.11,-31.48
region,Central,2025-11,182033.03,153212.33,18.81
region,Central,2025-12,212161.02,235493.68,-9.91
region,East,2022-01,47017.4,,
region,East,2022-02,61992.49,,
region,East,2022-03,131673.69,,
region,East,2022-04,199537.25,,
region,East,2022-05,120140.38,,
region,East,2022-06,138617.05,,
region,East,2022-07,145871.83,,
region,East,2022-08,92410.08,,
region,East,2022-09,174981.61,,
region,East,2022-10,157801.12,,
region,East,2022-11,174476.68,,
region,East,2022-12,283490.54,,
region,East,2023-01,127361.34,47017.4,170.88
region,East,2023-02,77584.25,61992.49,25.15
region,East,2023-03,126630.36,131673.69,-3.83
region,East,2023-04,161402.42,199537.25,-19.11
region,East,2023-05,132480.24,120140.38,10.27
region,East,2023-06,106416.83,138617.05,-23.23
region,East,2023-07,77921.84,145871.83,-46.58
region,East,2023-08,86613.42,92410.08,-6.27
region,East,2023-09,128864.13,174981.61,-26.36
region,East,2023-10,164896.71,157801.12,4.5
region,East,2023-11,238880.89,174476.68,36.91
region,East,2023-12,253337.87,283490.54,-10.64
region,East,2024-01,120534.05,127361.34,-5.36
region,East,2024-02,107154.88,77584.25,38.11
region,East,2024-03,106388.98,126630.36,-15.98
region,East,2024-04,140621.59,161402.42,-12.88
region,East,2024-05,141175.33,132480.24,6.56
region,East,2024-06,118031.44,106416.83,10.91
region,East,2024-07,150664.54,77921.84,93.35
region,East,2024-08,138657.72,86613.42,60.09
region,East,2024-09,89914.36,128864.13,-30.23
region,East,2024-10,134894.62,164896.71,-18.19
region,East,2024-11,256743.83,238880.89,7.48
region,East,2024-12,221068.08,253337.87,-12.74
region,East,2025-01,123532.94,120534.05,2.49
region,East,2025-02,129354.0,107154.88,20.72
region,East,2025-03,105638.91,106388.98,-0.71
region,East,2025-04,149065.81,140621.59,6.0
region,East,2025-05,148543.34,141175.33,5.22
region,East,2025-06,104815.03,118031.44,-11.2
region,East,2025-07,130729.66,150664.54,-13.23
region,East,2025-08,156936.28,138657.72,13.18
region,East,2025-09,116414.72,89914.36,29.47
region,East,2025-10,202360.93,134894.62,50.01
region,East,2025-11,213050.39,256743.83,-17.02
region,East,2025-12,249063.95,221068.08,12.66
region,South,2022-01,62157.13,,
region,South,2022-02,75126.98,,
region,South,2022-03,115944.17,,
region,South,2022-04,149775.25,,
region,South,2022-05,191897.53,,
region,South,2022-06,128272.66,,
region,South,2022-07,121791.71,,
region,South,2022-08,126618.53,,
region,South,2022-09,118413.55,,
region,South,2022-10,156992.98,,
region,South,2022-11,208755.32,,
region,South,2022-12,259914.52,,
region,South,2023-01,134556.85,62157.13,116.48
region,South,2023-02,112783.28,75126.98,50.12
region,South,2023-03,137976.64,115944.17,19.0
region,South,2023-04,134280.44,149775.25,-10.35
region,South,2023-05,146116.31,191897.53,-23.86
region,South,2023-06,119359.76,128272.66,-6.95
region,South,2023-07,92078.3,121791.71,-24.4
region,South,2023-08,100904.26,126618.53,-20.31
region,South,2023-09,171038.18,118413.55,44.44
region,South,2023-10,174302.75,156992.98,11.03
region,South,2023-11,184372.18,208755.32,-11.68
region,South,2023-12,219078.88,259914.52,-15.71
region,South,2024-01,120432.67,134556.85,-10.5
region,South,2024-02,135265.37,112783.28,19.93
region,South,2024-03,118369.78,137976.64,-14.21
region,South,2024-04,140724.61,134280.44,4.8
region,South,2024-05,101478.55,146116.31,-30.55
region,South,2024-06,160682.78,119359.76,34.62
region,South,2024-07,90733.01,92078.3,-1.46
region,South,2024-08,166837.0,100904.26,65.34
region,South,2024-09,147047.34,171038.18,-14.03
region,South,2024-10,118381.48,174302.75,-32.08
region,South,2024-11,225084.52,184372.18,22.08
region,South,2024-12,185553.46,219078.88,-15.3
region,South,2025-01,128765.0,120432.67,6.92
region,South,2025-02,103784.42,135265.37,-23.27
region,South,2025-03,91303.44,118369.78,-22.87
region,South,2025-04,119161.82,140724.61,-15.32
region,South,2025-05,163199.95,101478.55,60.82
region,South,2025-06,147175.45,160682.78,-8.41
region,South,2025-07,132724.68,90733.01,46.28
region,South,2025-08,91515.1,166837.0,-45.15
region,South,2025-09,143625.84,147047.34,-2.33
region,South,2025-10,173859.15,118381.48,46.86
region,South,2025-11,251113.08,225084.52,11.56
region,South,2025-12,266784.66,185553.46,43.78
region,West,2022-01,45345.43,,
region,West,2022-02,64436.17,,
region,West,2022-03,111644.07,,
region,West,2022-04,67480.93,,
region,West,2022-05,97082.96,,
region,West,2022-06,89162.94,,
region,West,2022-07,75126.33,,
region,West,2022-08,95576.21,,
region,West,2022-09,77514.35,,
region,West,2022-10,125539.93,,
region,West,2022-11,190811.38,,
region,West,2022-12,154126.14,,
region,West,2023-01,109543.67,45345.43,141.58
region,West,2023-02,97252.22,64436.17,50.93
region,West,2023-03,102105.32,111644.07,-8.54
region,West,2023-04,61092.44,67480.93,-9.47
region,West,2023-05,67428.85,97082.96,-30.55
region,West,2023-06,97119.82,89162.94,8.92
region,West,2023-07,82531.13,75126.33,9.86
region,West,2023-08,82702.95,95576.21,-13.47
region,West,2023-09,96354.9,77514.35,24.31
region,West,2023-10,124724.3,125539.93,-0.65
region,West,2023-11,196372.24,190811.38,2.91
region,West,2023-12,246342.33,154126.14,59.83
region,West,2024-01,78121.68,109543.67,-28.68
region,West,2024-02,82182.31,97252.22,-15.5
region,West,2024-03,97778.9,102105.32,-4.24
region,West,2024-04,76420.18,61092.44,25.09
region,West,2024-05,73265.12,67428.85,8.66
region,West,2024-06,102105.41,97119.82,5.13
region,West,2024-07,73335.72,82531.13,-11.14
region,West,2024-08,106943.26,82702.95,29.31
region,West,2024-09,96457.55,96354.9,0.11
region,West,2024-10,134057.1,124724.3,7.48
region,West,2024-11,157608.82,196372.24,-19.74
region,West,2024-12,186743.66,246342.33,-24.19
region,West,2025-01,105676.15,78121.68,35.27
region,West,2025-02,70250.23,82182.31,-14.52
region,West,2025-03,102627.99,97778.9,4.96
region,West,2025-04,84255.35,76420.18,10.25
region,West,2025-05,153840.06,73265.12,109.98
region,West,2025-06,118018.69,102105.41,15.59
region,West,2025-07,98240.16,73335.72,33.96
region,West,2025-08,77880.66,106943.26,-27.18
region,West,2025-09,73321.74,96457.55,-23.99
region,West,2025-10,73618.62,134057.1,-45.08
region,West,2025-11,218750.62,157608.82,38.79
region,West,2025-12,154556.17,186743.66,-17.24
